date,asin,ads_date_ref,tsales_date_ref,impressions,clicks,ad_spend,units_sold,ad_sales,shippedunits,shippedrevenueamount,Item Name,Collection,Category,Size,Inch,orderedunits,orderedrevenueamount
07-09-2024,B09KDPXYG3,2024-09-07,2024-09-07,169,2,3,0,0,0,0,"NapQueen Elizabeth 12"" Gel Memory Foam Mattress, Twin XL",Elizabeth,Mattress,Twin XL,12 Inch,1,239
27-08-2024,B0BNL7TJRT,2024-08-27,2024-08-27,726,2,3,0,0,0,0,"NapQueen 4'' Swirl Gel Mattress Topper, Full",Swirl Egg Shell,Mattress Topper,Full,4 Inch,1,89
29-08-2024,B0BNL117VT,2024-08-29,2024-08-29,"1,332",1,1,0,0,0,0,"NapQueen 3'' Swirl Gel Mattress Topper, Queen",Swirl Egg Shell,Mattress Topper,Queen,3 Inch,1,82
05-09-2024,B09X1F8C23,2024-09-05,2024-09-05,55,1,0,0,0,0,0,"NapQueen Elizabeth 6"" Gel Memory Foam Mattress, Full",Elizabeth,Mattress,Full,6 Inch,1,150
18-08-2024,B0BNL3J36Z,2024-08-18,2024-08-18,107,1,0,0,0,0,0,"NapQueen 2'' Green Tea Mattress Topper, Twin",Green Tea,Mattress Topper,Twin,2 Inch,1,39
31-08-2024,B0BRCW79VK,2024-08-31,2024-08-31,306,1,1,0,0,0,0,"NapQueen Anula Green Tea 6'', Queen",Anula,Mattress,Queen,6 Inch,1,157
17-08-2024,B0BNL1RDVC,2024-08-17,2024-08-17,"1,675",1,1,0,0,0,0,"NapQueen 3'' Swirl Gel Mattress Topper, Full",Swirl Egg Shell,Mattress Topper,Full,3 Inch,1,76
15-08-2024,B0CR49NR3B,2024-08-15,2024-08-15,"1,989",1,2,0,0,0,0,"NapQueen Elite Series Machka Full Mattress, 10 Inch Cooling Gel Memory Foam Mattress Full, Hybrid Mattress in a Box with Individual Pocket Spring",Machka,Mattress,Full,10 Inch,1,347
15-08-2024,B0B31Y1FDZ,,2024-08-15,0,0,0,0,0,0,0,"NapQueen 6"" Bamboo Charcoal Mattress, Twin",Bamboo Charcoal Mattress,Mattress,Twin,6 Inch,1,139
06-09-2024,B0B31S8KPF,,2024-09-06,0,0,0,0,0,0,0,"NapQueen 14"" Bamboo Charcoal Mattress, King",Bamboo Charcoal Mattress,Mattress,King,14 Inch,1,399
08-09-2024,B0BNL53HF3,,2024-09-08,0,0,0,0,0,0,0,"NapQueen 1.5'' Green Tea Mattress Topper, Queen",Green Tea,Mattress Topper,Queen,1.5 Inch,1,59
22-08-2024,B09MR5WS3Y,,2024-08-22,0,0,0,0,0,0,0,"NapQueen 8"" Bamboo Charcoal Mattress, King",Bamboo Charcoal Mattress,Mattress,King,8 Inch,1,259
17-08-2024,B0BSLVXHYJ,,2024-08-17,0,0,0,0,0,0,0,"NapQueen Alpha Bed Frame, Queen",Alpha,Bed Frame,Queen,14 Inch,1,138
04-09-2024,B09KDVXTP4,,2024-09-04,0,0,0,0,0,0,0,"NapQueen Elizabeth 10"" Gel Memory Foam Mattress, Full",Elizabeth,Mattress,Full,10 Inch,1,219
28-08-2024,B0BNL43XHH,,2024-08-28,0,0,0,0,0,0,0,"NapQueen 1.5"" Ventilated Bamboo Charcoal Memory Foam Mattress Topper, King",Bamboo Charcoal Topper,Mattress Topper,King,1.5 Inch,1,76
12-09-2024,B0B31VTH56,,2024-09-12,0,0,0,0,0,0,0,"NapQueen 6"" Bamboo Charcoal Mattress, Twin-XL",Bamboo Charcoal Mattress,Mattress,Twin XL,6 Inch,1,128
26-08-2024,B0BNL3L7LR,,2024-08-26,0,0,0,0,0,0,0,"NapQueen 3'' Green Tea Mattress Topper, Full",Green Tea,Mattress Topper,Full,3 Inch,1,70
20-08-2024,B0CQVL6NXT,,2024-08-20,0,0,0,0,0,0,0,"NapQueen Zeta Bed Frame, Full",Zeta,Bed Frame,Full,16 Inch,1,100
11-09-2024,B0B31T1XMH,,2024-09-11,0,0,0,0,0,0,0,"NapQueen 14"" Bamboo Charcoal Mattress, Full",Bamboo Charcoal Mattress,Mattress,Full,14 Inch,1,299
13-09-2024,B0CY5LR4VX,,2024-09-13,0,0,0,0,0,0,0,NapQueen 14'' Isabella Hybrid Pillow Top Full Mattress,Isabella Pillow Top,Mattress,Full,14 Inch,1,325
05-09-2024,B0BRCXJ1F6,,2024-09-05,0,0,0,0,0,0,0,"NapQueen Anula Green Tea 6'', King",Anula,Mattress,King,6 Inch,1,199
18-08-2024,B09KDNYCYR,,2024-08-18,0,0,0,0,0,0,0,"NapQueen Elizabeth 8"" Gel Memory Foam Mattress, Twin XL",Elizabeth,Mattress,Twin XL,8 Inch,1,150
01-09-2024,B0BGDZLDX2,,2024-09-01,0,0,0,0,0,0,0,"NapQueen 8"" Maxima Hybrid Mattress, Twin-XL, Cooling Gel Infused Memory Foam and Innerspring Mattress",Maxima,Mattress,Twin XL,8 Inch,1,118
21-08-2024,B09MR4D874,,2024-08-21,0,0,0,0,0,0,0,"NapQueen 10"" Bamboo Charcoal Mattress, King",Bamboo Charcoal Mattress,Mattress,King,10 Inch,1,455
23-08-2024,B0BRCXSTKW,,2024-08-23,0,0,0,0,0,0,0,"NapQueen Anula Green Tea 10'', King",Anula,Mattress,King,10 Inch,1,374
16-08-2024,B09MR2MLZH,,2024-08-16,0,0,0,0,0,0,0,"NapQueen 12"" Bamboo Charcoal Mattress, Queen",Bamboo Charcoal Mattress,Mattress,Queen,12 Inch,1,294
13-09-2024,B0BRCXSTKW,,2024-09-13,0,0,0,0,0,0,0,"NapQueen Anula Green Tea 10'', King",Anula,Mattress,King,10 Inch,1,287
